Media Source,Sentence,Date,Type,"Contained ""massacre""","Contained ""horrific""","Contained ""slaughter"""
LAT,"this has become the deadliest of the five gaza wars for both sides. at least 2,778 have been killed and 9,700 wounded in gaza, according to the health ministry there. more than 1,400 israelis have been killed, the vast majority civilians massacred in hamas’ oct. 7 assault. the israeli military said monday that at least 199 hostages were taken into gaza, more than previously estimated. hamas said monday it was holding 200 to 250 hostages, including foreigners whom it said it would free when it was feasible.",10/16/2023,News,1,0,0
LAT,"more than 1,400 people have died on the israeli side, mainly civilians killed in massacres during hamas’ initial attack, also an unprecedented figure. nineteen israeli soldiers have been killed in gaza since the start of the ground operation. a suspected militant shot to death an israeli reserve soldier driving near a west bank settlement thursday, the military and medics said.",11/2/2023,News,1,0,0
LAT,"more than 1,400 people in israel have been killed in the war — mostly civilians massacred during the initial hamas attack. at least 212 people were captured and taken back to gaza, including men, women, children and older adults. two americans were released friday in what hamas said was a humanitarian gesture.",10/22/2023,News,1,0,0
LAT,"but after the tree of life massacre in 2018 — in which a gunman killed 11 people at a pittsburgh synagogue — many smaller communities sought to harden themselves, reviving sleepy volunteer security forces and inspiring new, more militant community defense groups. ",10/12/2023,News,1,0,0
LAT,"israeli prime minister benjamin netanyahu on saturday visited beeri and kfar azza, two southern border communities where hamas militants killed dozens of israelis in their initial attack. netanyahu met with soldiers and toured the ruins of homes where the massacres happened after having faced criticism that his government has not done enough to meet with relatives of the victims.",10/14/2023,News,1,0,0
LAT,"the israeli military said an airstrike killed one of two masterminds of the oct. 7 massacre, shadi barud, the head of hamas’ intelligence unit. the military says it only strikes militant targets and accuses hamas of operating among civilians in an attempt to protect its fighters.",10/26/2023,News,1,0,0
LAT,"but as amer resumes work on the new season, there’s little to laugh about in the wake of hamas’ brutal massacre of more than 1,400 israelis on oct. 7, and israel’s relentless bombardment of gaza that’s killed more than 10,000 people. the pain, suffering and red-hot tensions triggered by the bloody conflict hangs over his writers room, while amer himself must navigate a polarized climate where his every word is mined for inspiration or weaponization, depending on the perspective. ",11/9/2023,News,1,0,0
LAT,"the israeli army has claimed that hamas is operating inside shifa and underneath it in bunkers, some of which it says are accessible from the hospital itself. it also claims that hundreds of hamas fighters sought shelter at shifa after the oct. 7 massacre, in which at least 1,200 people in israel were killed.",11/14/2023,News,1,0,0
LAT,"flickering tea lights illuminated the blue-and-white israeli flag as hundreds of ucla students and other supporters of israel gathered for an evening vigil at bruin plaza this week. they shared feelings of grief and seething anger over the massacre of more than 1,300 in israel, many of them women and children, by hamas militants. they prayed, hugged and sang. "", ",10/14/2023,News,1,0,0
LAT,"the israeli government is under intense public pressure to topple hamas after its militants stormed through a border fence saturday and massacred hundreds of israelis in their homes, on the streets and at an outdoor music festival.",10/11/2023,News,1,0,0
LAT,"“i had to make some decisions live on tv,” yingst said. “i want to be respectful of the dead and respectful of the families but also be sure that i’m showing the world what is taking place. what happened here was a massacre of unimaginable proportions.” ",10/12/2023,News,1,0,0
LAT,"in a video released thursday, civilian hamas members defended the group’s rampage and decried the civilian deaths in gaza from six days of israeli airstrikes. the solemn video lacked the bravado of a recording aired saturday by hamas’ military wing that hailed “the greatest battle” as the massacres were still taking place.",10/12/2023,News,1,0,0
LAT,"seasoned correspondents in the region, who are used to being in the middle of firefights or the aftermath of suicide bombings, are being tested on their ability to remain steady as they report on the massacre with descriptions of violence.",10/12/2023,News,1,0,0
LAT,"there was “no clear and unequivocal condemnation of the terrible massacre committed by the terrorist organization hamas against innocent civilians and the abduction of dozens of them to gaza,” the israeli statement said. “the chinese announcements do not contain any element of israel’s right to defend itself and its citizens, a fundamental right of any sovereign country that was attacked in an unprecedented manner and with cruelty that has no place in human society.”",10/13/2023,News,1,0,0
LAT,raids into gaza on friday were the first acknowledgment that israeli troops had entered the territory since the military began its round-the-clock bombardment in retaliation for the hamas massacre.,10/14/2023,News,1,0,0
LAT,"but in israel, haunted by the worst massacre of israeli civilians citizens in the country’s history, there is a sense that if the military does not strike a decisive blow against hamas now, any illusion of safety for israel’s citizenry is gone for good. ",10/18/2023,News,1,0,0
LAT,"jews have also been among the biggest targets for hate crimes in america, most prominently the 2018 massacre of 11 people at the tree of life synagogue in pittsburgh. antisemitic crimes were second only to anti-black ones in 2022, a pattern frequently seen in federal bureau of investigation data going back 31 years.",10/23/2023,News,1,0,0
LAT,"“i will not meet with the u.n. secretary-general. after the october 7 massacre, there is no place for a balanced approach. hamas must be erased off the face of the planet!” cohen posted tuesday on social platform x, formerly twitter.",10/25/2023,News,1,0,0
LAT,"the warning came as hospitals in gaza struggled to treat masses of wounded with dwindling resources. meanwhile, the u.n.’s top official faced backlash from israel after saying the hamas massacre that sparked the fighting did not “take place in a vacuum.”",10/25/2023,News,1,0,0
LAT,"until this week, netanyahu had remained pointedly silent on the subject of accountability for lapses that led to the massacre. but in an address to the nation on wednesday night, he gave the first indication that he expected his own actions to be part of an expected postwar inquiry.",10/27/2023,News,1,0,0
LAT,"the footage of louk’s body being displayed in the streets of gaza as a seeming trophy, spat upon by at least one onlooker, was one of the first atrocity clips to circulate widely in the wake of the festival massacre. now, far more video of the attack and its aftermath is in online circulation, some of it taken by body cameras.",10/30/2023,News,1,0,0
LAT,"finally, ai systems can create a false sense of confidence — which was perhaps evident in how, despite having a best-of-class ai-augmented surveillance system in place in gaza, israel did not detect the planning for the brutal, highly coordinated massacre on oct. 7.",11/2/2023,News,1,0,0
LAT,"“if you are a legal employer, when you interview students from berkeley, harvard, nyu or any other law school this year, ask them what organizations they belong to,” solomon wrote. “ask if they support discriminatory bylaws or other acts and resolutions blaming jews and israelis for the hamas massacre. if a student endorses hatred, it isn’t only your right but your duty not to hire him.”",11/3/2023,News,1,0,0
LAT,"after talks with netanyahu, blinken said a temporary halt in the violence was needed to boost aid deliveries and help win the release of the hostages whom hamas militants took during the rampage in which they massacred more than 1,000 civilians. but netanyahu said he told blinken that unless hostages are released, “we are going with full steam ahead.”",11/3/2023,News,1,0,0
LAT,"tel aviv — in jewish tradition, the passage of 30 days — known as sheloshim — is a significant interval in rituals of mourning. now, a month after the massacre that nearly brought the country to its knees, israel’s battered “peace camp” is rising — or trying its best to do so."", ",11/6/2023,News,1,0,0
LAT,"after “the largest massacre since the holocaust,” he said, “let us call out together, never again.”",11/14/2023,News,1,0,0
LAT,a wall street journal op-ed by professor steven davidoff solomon recommended against hiring students who ‘support discriminatory bylaws or other acts and resolutions blaming jews and israelis for the hamas massacre.’,11/15/2023,News,1,0,0
LAT,"the california legislative jewish caucus issued a statement saying many jewish delegates who were already anxious about attending the convention, due to a rise in antisemitism since the oct. 7 massacre, “now believe it is unsafe to participate at all.”",11/18/2023,News,1,0,0
