Media Source,Date,Headline,link,Type (News/Editorial)
LAT,11/19/2023," Their families wiped out in Gaza, grieving Palestinians ask why ",https://www.latimes.com/world-nation/story/2023-11-19/their-families-wiped-out-in-gaza-grieving-palestinians-ask-why,News
LAT,11/19/2023,31 premature babies evacuated from Gaza's largest hospital but scores of trauma patients remain,https://www.latimes.com/world-nation/story/2023-11-19/31-very-sick-babies-evacuated-from-gaza-hospital-where-trauma-patients-remain-as-israel-military-searches-compound,News
LAT,11/18/2023,California Democratic Party convention locked down amid anti-Israel protests,https://www.latimes.com/california/story/2023-11-18/california-democratic-party-convention-locked-down-amid-anti-israel-protests,News
LAT,11/18/2023,Thousands march in Jerusalem to press Israel's government to do more to free hostages in Gaza,https://www.latimes.com/world-nation/story/2023-11-18/thousands-march-in-jerusalem-to-press-israels-government-to-do-more-to-free-hostages-in-gaza,News
LAT,11/18/2023," 32 babies in critical condition are among the patients left at Gaza's main hospital, U.N. team says ",https://www.latimes.com/world-nation/story/2023-11-18/shifa-hospital-patients-staff-and-displaced-flee-as-israel-strikes-gazas-north-and-south,News
LAT,11/18/2023," With the world's attention on Gaza, Ukrainians worry war fatigue will hurt their cause ",https://www.latimes.com/world-nation/story/2023-11-18/the-worlds-attention-is-on-gaza-and-ukrainians-worry-war-fatigue-will-hurt-their-cause,News
LAT,11/18/2023,A space engineer who brought us images of Mars confronts Earth's brutal realities in Gaza,https://www.latimes.com/california/story/2023-11-18/palestinian-american-space-engineer-tries-to-save-parents-from-israeli-bombs-in-gaza,News
LAT,11/17/2023," Biden signs a bill averting a government shutdown for now, with Israel and Ukraine aid still stalled ",https://www.latimes.com/world-nation/story/2023-11-17/biden-signs-bill-averting-government-shutdown-for-now,News
LAT,11/17/2023," Thousands of bodies lie buried in Gaza's rubble. Families dig to retrieve them, often by hand ",https://www.latimes.com/world-nation/story/2023-11-17/bodies-buried-gaza-rubble-families-dig,News
LAT,11/17/2023,U.N. stops delivery of food and supplies to Gaza while communications blackout hinders aid coordination,https://www.latimes.com/world-nation/story/2023-11-17/gaza-un-stops-aid-delivery-communications-blackout,News
LAT,11/16/2023,Inside the Israeli lab 'reassembling and reconnecting' the mangled bodies of the dead,https://www.latimes.com/world-nation/story/2023-11-16/la-fg-col1-israel-forensic-pathologist,News
LAT,11/16/2023," Israel, Hamas war affecting basketball players and families at Shalhevet  ",https://www.latimes.com/sports/highschool/story/2023-11-16/israel-hamas-war-shalhevet,News
LAT,11/16/2023," Police, demonstrators clash outside Democratic HQ during Israel-Hamas war protest ",https://www.latimes.com/world-nation/story/2023-11-16/police-protesters-clash-democratic-hq-israel-hamas-war,News
LAT,11/16/2023," Bay Bridge blocked off by pro-Palestinian protesters during APEC summit, Biden visit ",https://www.latimes.com/california/story/2023-11-16/bay-bridge-blocked-off-by-pro-palestine-protesters-during-apec-summit-biden-visit,News
LAT,11/16/2023," Internet, phone networks collapse in Gaza, threatening to worsen humanitarian crisis ",https://www.latimes.com/world-nation/story/2023-11-16/israel-signals-wider-offensive-south-gaza,News
LAT,11/15/2023," In the Israel-Hamas war, China sees opportunity to gain ground on the U.S.  ",https://www.latimes.com/world-nation/story/2023-11-15/in-the-israel-hamas-war-china-sees-opportunity-to-gain-ground-on-the-united-states,News
LAT,11/15/2023,Israel searches for traces of Hamas in raid of key Gaza hospital packed with patients,https://www.latimes.com/world-nation/story/2023-11-15/israeli-forces-raid-shifa-hospital-gaza,News
LAT,11/15/2023,Israel-Hamas war roils UC over the line between free speech and unacceptable behavior,https://www.latimes.com/california/story/2023-11-15/israel-hamas-war-roils-uc-over-free-speech-vs-unacceptable-behavior,News
LAT,11/15/2023," ‘That mockery is painful.’ For Palestinian American businesses, a time of harassment and heartbreak ",https://www.latimes.com/business/story/2023-11-15/la-fi-palestinian-american-businesses-harassment-support,News
LAT,11/15/2023,Jewish activists rallying for Gaza cease-fire shut down Hollywood intersection,https://www.latimes.com/california/story/2023-11-15/free-palestine-rally-shuts-down-hollywood-and-highland-traffic,News
LAT,11/14/2023,Is Hamas hiding in Gaza's main hospital? Key Israeli claim is under scrutiny,https://www.latimes.com/world-nation/story/2023-11-14/hamas-hiding-gaza-main-hospital-israel-key-claim,News
LAT,11/14/2023,Israeli military forces raid Gaza's largest hospital in operation against Hamas,https://www.latimes.com/world-nation/story/2023-11-14/south-gaza-humanitarian-crisis-worsens-israel-offensive,News
LAT,11/14/2023,Never again': Tens of thousands of supporters of Israel rally in Washington,https://www.latimes.com/world-nation/story/2023-11-14/tens-of-thousands-of-supporters-of-israel-rally-in-washington-crying-never-again,News
LAT,11/14/2023,Jews demanding cease-fire in Gaza occupy Oakland federal building. Hundreds are arrested,https://www.latimes.com/california/story/2023-11-14/oakland-federal-building-jewish-protesters-gaza-ceasefire-arrests,News
LAT,11/13/2023,West Bank violence is growing. Will it open another front in the Israel-Hamas war?,https://www.latimes.com/world-nation/story/2023-11-13/la-fg-israeli-settlers-violence,News
LAT,11/13/2023," Medics and patients, including babies, stranded as battles rage around Gaza hospitals ",https://www.latimes.com/world-nation/story/2023-11-13/thousands-flee-gaza-hospital-health-many-trapped,News
LAT,11/13/2023,Military training efforts for Ukraine hit major milestones even as attention shifts to Gaza,https://www.latimes.com/world-nation/story/2023-11-13/ukraine-military-training-efforts-hit-major-milestones,News
LAT,11/12/2023," More than 180,000 people across France march against soaring antisemitism amid the Israel-Hamas war ",https://www.latimes.com/world-nation/story/2023-11-12/more-than-100-000-people-march-in-paris-against-soaring-antisemitism-amid-israel-hamas-war,News
LAT,11/12/2023,Heavy fighting rages near main Gaza hospital; people inside say they cannot flee,https://www.latimes.com/world-nation/story/2023-11-12/heavy-fighting-rages-near-main-gaza-hospital-people-trapped-inside-say-they-cannot-flee,News
LAT,11/11/2023,Netanyahu rejects growing calls for a cease-fire as Israel battles Hamas outside main Gaza hospital,https://www.latimes.com/world-nation/story/2023-11-11/gazas-main-hospital-goes-dark-in-intense-fighting-as-israels-attacks-put-it-at-odds-with-allies,News
LAT,11/11/2023," Newport Beach student suspended for remarks to another student, including ""Free Palestine"" ",https://www.latimes.com/california/story/2023-11-11/corona-del-mar-student-suspended-for-saying-free-palestine,News
LAT,11/11/2023," Two teachers at public charter school placed on leave over ""lesson on the genocide in Palestine"" ",https://www.latimes.com/california/story/2023-11-11/two-teachers-at-valley-village-charter-school-placed-on-leave-after-lesson-related-to-israel-hamas-war,News
LAT,11/10/2023,A halfway war pulses on Israel's border with Lebanon. Will it escalate?,https://www.latimes.com/world-nation/story/2023-11-10/hezbollah-refraining-all-out-war-israel-miscalculation-danger,News
LAT,11/10/2023,News Analysis: U.S. coming up short in full-court diplomatic press with Israel and Arab world,https://www.latimes.com/politics/story/2023-11-10/biden-administration-israel-gaza-efforts-state-department-divide,News
LAT,11/10/2023,Thousands who were sheltering at Gaza City’s hospitals flee as Israel-Hamas war closes in,https://www.latimes.com/world-nation/story/2023-11-10/gaza-window-safe-passage-palestinians-flee-israel-bombardment,News
LAT,11/9/2023," As Israel agrees to daily pauses in fighting, civilians flee north Gaza in growing tide  ",https://www.latimes.com/world-nation/story/2023-11-09/israeli-strikes-pound-gaza-city-tens-thousands-fled,News
LAT,11/9/2023," Mo Amer's comedy is centered on his Palestinian heritage. Now with a war, it's hard to laugh ",https://www.latimes.com/entertainment-arts/tv/story/2023-11-09/mo-amer-palestine-israel-gaza-war,News
LAT,11/8/2023," Israel-Hamas fight heats up in Gaza City, accelerating exodus of Palestinians to the south ",https://www.latimes.com/world-nation/story/2023-11-08/gaza-palestinians-flee-on-foot-fighting-gaza-city,News
LAT,11/8/2023," In a stunning rebuke, House censures Rep. Rashida Tlaib over her Israel-Hamas rhetoric ",https://www.latimes.com/politics/story/2023-11-08/house-censures-rashida-tlaib-israel-hamas-rhetoric,News
LAT,11/8/2023,G-7 adopts unified stance on Israel-Hamas war after intensive meetings in Tokyo,https://www.latimes.com/world-nation/story/2023-11-08/g7-united-stance-israel-hamas-war-tokyo-meetings,News
LAT,11/8/2023,Paul Kessler died protesting in support of Israel. What really happened?,https://www.latimes.com/california/story/2023-11-08/protests-in-ventura-county-left-jewish-man-dead-what-happened-remains-unclear,News
LAT,11/8/2023,Video purportedly shows ex-Angel City FC player flashing Nazi salute at pro-Israel rally in Beverly Hills,https://www.latimes.com/california/story/2023-11-08/stefany-ferrer-van-ginkel-antisemitic-nazi-salute-israel-rally-beverly-hills-angel-city-fc,News
LAT,11/8/2023,Inside the Museum of Tolerance's screening of Hamas attack footage,https://www.latimes.com/entertainment-arts/story/2023-11-08/israel-hamas-oct-7-terror-attack-footage-museum-of-tolerance-bearing-witness,News
LAT,11/8/2023,Protests grow violent after screening of film on Hamas attacks at Museum of Tolerance,https://www.latimes.com/california/story/2023-11-08/film-on-hamas-attacks-spurs-israel-palestine-protests-museum-of-tolerance,News
LAT,11/7/2023,Israel fights Hamas in Gaza City and foresees control of enclave’s security after war,https://www.latimes.com/world-nation/story/2023-11-07/a-month-into-war-netanyahu-says-israel-will-have-an-overall-security-role-in-gaza-indefinitely,News
LAT,11/6/2023,Israeli forces cut off north Gaza to isolate Hamas as advance on urban center looms,https://www.latimes.com/world-nation/story/2023-11-06/israeli-forces-cuts-off-north-gaza,News
LAT,11/6/2023,Israeli voices questioning war are faint: 'Some people are calling us traitors',https://www.latimes.com/world-nation/story/2023-11-06/israeli-voices-questioning-war-are-faint-some-people-are-calling-us-traitors,News
LAT,11/6/2023,Rep. Tlaib defends pro-Palestinian video as rift among Michigan Democrats widens,https://www.latimes.com/world-nation/story/2023-11-06/rep-tlaib-defends-pro-palestinian-video-as-rift-among-michigan-democrats-widens-over-war,News
LAT,11/6/2023," Blinken wraps up Mideast tour with tepid, if any, support for pause in Gaza fighting ",https://www.latimes.com/world-nation/story/2023-11-06/blinken-tepid-mideast-support-pause-israel-hamas-war,News
LAT,11/6/2023,Conflicting statements' complicate investigation into Jewish man's death at protest,https://www.latimes.com/california/story/2023-11-06/man-dies-after-fight-at-protest-westlake-village-israel-hamas-war,News
LAT,11/5/2023," Gaza loses telecom contact again, while Israel announces it has surrounded Gaza City ",https://www.latimes.com/world-nation/story/2023-11-05/warplanes-strike-gaza-refugee-camp-as-israel-rejects-us-push-for-a-pause-in-fighting,News
LAT,11/5/2023," How international law applies to war, and why Hamas and Israel are both alleged to have broken it ",https://www.latimes.com/world-nation/story/2023-11-05/how-international-law-applies-to-war-and-why-hamas-and-israel-are-both-alleged-to-have-broken-it,News
LAT,11/5/2023," Gaza diary: What life is like under daily airstrikes, blackouts and scarcity ",https://www.latimes.com/world-nation/story/2023-11-05/gaza-diary-what-life-is-like-under-daily-airstrikes-blackouts-scarcity,News
LAT,11/5/2023,Authorities investigating hit-and-run of Arab Muslim student at Stanford as hate crime,https://www.latimes.com/california/story/2023-11-05/authorities-investigating-hit-and-run-at-stanford-as-hate-crime,News
LAT,11/5/2023,Column: Biden and Blinken are planning for 'the day after' war in Gaza ends. Make that years after,https://www.latimes.com/politics/story/2023-11-05/mcmanus-column-biden-blinken-plan-after-the-gaza-war-ends,News
LAT,11/4/2023," Hundreds rally at Israeli Consulate in L.A., calling for cease-fire in Gaza ",https://www.latimes.com/california/story/2023-11-04/thousands-of-pro-palestinians-rally-at-israeli-consulate-in-l-a-calling-for-end-to-invasion-of-gaza,News
LAT,11/4/2023,Protest marches from U.S. to Berlin call for immediate halt to Israeli bombing of Gaza,https://www.latimes.com/world-nation/story/2023-11-04/protest-marches-europe-demand-halt-israeli-bombing-gaza,News
LAT,11/4/2023,U.S. and Arab partners disagree on the need for a cease-fire as Israeli airstrikes kill more civilians,https://www.latimes.com/world-nation/story/2023-11-04/israeli-strikes-kill-multiple-civilians-at-shelters-in-gaza-combat-zone-as-blinken-seeks-more-aid,News
LAT,11/3/2023,Honduras recalls ambassador to Israel as it condemns civilian Palestinian toll in war,https://www.latimes.com/world-nation/story/2023-11-03/honduras-recalls-ambassador-to-israel-as-it-condemns-civilian-palestinian-toll-in-war,News
LAT,11/3/2023," Israel resists U.S. pressure to pause war to allow more aid to Gaza, wants hostages back first ",https://www.latimes.com/world-nation/story/2023-11-03/israel-encirclement-gaza-city-tightens-blinken-arrives,News
LAT,11/3/2023,A divide over the Israel-Hamas war flares at UC Berkeley Law,https://www.latimes.com/california/story/2023-11-03/a-divide-over-the-israel-hamas-war-flares-at-uc-berkeley-law,News
LAT,11/3/2023,Column: The budget lie at the heart of House Speaker Johnson's Israel aid proposal,https://www.latimes.com/business/story/2023-11-03/the-budgetary-lie-at-the-heart-of-house-speaker-johnsons-israel-aid-proposal,News
LAT,11/3/2023,Lebanon's militant Hezbollah leader threatens escalation with Israel as war with Hamas rages on,https://www.latimes.com/world-nation/story/2023-11-03/lebanons-militant-hezbollah-leader-threatens-escalation-with-israel-as-war-with-hamas-rages-on,News
LAT,11/3/2023,More incidents reported in L.A. after anti-Israel graffiti discovered outside Canter's Deli,https://www.latimes.com/california/story/2023-11-03/four-more-incidents-reported-nearby-after-anti-semitic-graffiti-reported-near-canters-deli,News
LAT,11/3/2023,Why Egypt and other Arab countries refuse to accept Palestinian refugees from Gaza,https://www.latimes.com/world-nation/story/2023-11-03/arab-countries-unwilling-accept-palestinian-refugees-gaza,News
LAT,11/2/2023," Column: We don't know how Israel's military is using AI in Gaza, but we should ",https://www.latimes.com/business/technology/story/2023-11-02/column-how-is-israels-military-using-ai-in-gaza,News
LAT,11/2/2023,House approves $14.5 billion in assistance for Israel as Biden vows to veto the GOP's approach,https://www.latimes.com/world-nation/story/2023-11-02/house-approves-14-5-billion-in-assistance-for-israel-as-biden-vows-to-veto-the-gops-approach,News
LAT,11/2/2023,Pressure rises on Israel to pause fighting and ease siege as battles intensify near Gaza City,https://www.latimes.com/world-nation/story/2023-11-02/israel-hamas-diplomacy-pause-fighting-gaza-intensifies,News
LAT,11/2/2023," L.A. city employee evacuated after being trapped in Gaza, Mayor Bass' office says  ",https://www.latimes.com/california/story/2023-11-02/l-a-city-employee-evacuated-after-being-trapped-in-gaza,News
LAT,11/2/2023,Biden says 74 U.S. dual nationals have left Gaza as he dispatches Blinken to Mideast,https://www.latimes.com/world-nation/story/2023-11-02/biden-says-74-us-dual-nationals-have-left-gaza-strip-as-he-dispatches-blinken-to-mideast,News
LAT,11/1/2023," Israeli envoy to Russia says Tel Aviv passengers hid from rioters, flown by helicopter to safety ",https://www.latimes.com/world-nation/story/2023-11-01/israeli-envoy-to-russia-says-tel-aviv-passengers-hid-from-weekend-airport-riot-in-terminal,News
LAT,11/1/2023,Bolivia severs diplomatic ties with Israel as Chile and Colombia recall their ambassadors,https://www.latimes.com/world-nation/story/2023-11-01/bolivia-severs-diplomatic-ties-israel-chile-colombia-recall-ambassadors,News
LAT,11/1/2023,Column: How CEOs are threading the needle in talking about Israel and Gaza,https://www.latimes.com/business/story/2023-11-01/ceos-are-speaking-out-about-israel-and-hamas-but-it-may-get-tougher-from-now-on,News
LAT,11/1/2023,Former Treasury Secretary Jacob Lew confirmed as U.S. ambassador to Israel,https://www.latimes.com/world-nation/story/2023-11-01/jacob-lew-former-treasury-secretary-confirmed-ambassador-israel,News
LAT,11/1/2023,Israel criticizes South American countries for diplomatic protests over Gaza,https://www.latimes.com/world-nation/story/2023-11-01/israel-criticizes-south-american-countries-that-cut-diplomatic-ties,News
LAT,11/1/2023," After weeks in besieged Gaza, foreign nationals, wounded Palestinians allowed to leave ",https://www.latimes.com/world-nation/story/2023-11-01/more-israeli-airstrikes-gaza-refugee-camp-apartment-buildings,News
LAT,11/1/2023," Amid war, some Palestinians rage against another target: Their own rulers ",https://www.latimes.com/world-nation/story/2023-11-01/amid-israel-hamas-war-palestinians-rage-against-own-rulers,News
LAT,11/1/2023,Cornell University junior accused of threatening Jewish students appears in court,https://www.latimes.com/world-nation/story/2023-11-01/cornell-university-junior-accused-of-threatening-jewish-students-appears-in-court,News
LAT,10/31/2023,FBI director warns about threats to Americans from those inspired by Hamas attack on Israel,https://www.latimes.com/world-nation/story/2023-10-31/the-fbi-director-warns-about-threats-to-americans-from-those-inspired-by-the-hamas-attack-on-israel,News
LAT,10/31/2023,What the U.S. is telling Israel about a Gaza ground invasion — and what Israel is hearing,https://www.latimes.com/politics/story/2023-10-31/usa-israel-ground-invasion-strategy-advice-mosul-iraq,News
LAT,10/31/2023," Airstrikes flatten blocks of Gaza refugee camp, bringing rage, grief and a perilous new phase of war ",https://www.latimes.com/world-nation/story/2023-10-31/israel-says-strike-on-gaza-refugee-camp-kills-hamas-commander-but-civilians-die-as-well,News
LAT,10/30/2023,Putin claims without proof that Russian airport mob targeting Israelis was staged from Ukraine,https://www.latimes.com/world-nation/story/2023-10-30/putin-calls-meeting-after-mob-storms-dagestan-airport-looking-for-israelis-on-jet-from-tel-aviv,News
LAT,10/30/2023,Israel pushes deeper into Gaza and frees soldier held by Hamas; Netanyahu rejects calls for cease-fire,https://www.latimes.com/world-nation/story/2023-10-30/israel-expands-ground-assault-gaza,News
LAT,10/30/2023,Ex-Jewish Defense League bomber's parole a 'gut punch' for Palestinian Americans,https://www.latimes.com/california/story/2023-10-30/jewish-defense-league-bomber-robert-manning-parole-patricia-wilkerson-murder,News
LAT,10/30/2023,U.N. agency in Gaza says cease-fire is 'matter of life and death' for millions of Palestinians,https://www.latimes.com/world-nation/story/2023-10-30/un-agency-in-gaza-says-urgent-ceasefire-is-matter-of-life-and-death-for-millions-of-palestinians,News
LAT,10/29/2023," Thousands break into aid warehouses in Gaza;  Hamas says deaths top 8,000 and Israel widens ground war ",https://www.latimes.com/world-nation/story/2023-10-29/gaza-deaths-top-8-000-israel-widens-ground-war,News
LAT,10/29/2023,Hundreds storm airport in Russia in antisemitic riot over arrival of plane from Israel,https://www.latimes.com/world-nation/story/2023-10-29/hundreds-storm-airport-in-russia-in-antisemitic-riot-over-arrival-of-plane-from-israel,News
LAT,10/29/2023," Column: Could wars in Ukraine, Gaza bring 'major changes in the international order'? Fiona Hill thinks so ",https://www.latimes.com/politics/story/2023-10-29/mcmanus-column-fiona-hill-russia-ukraine-israel-gaza,News
LAT,10/29/2023,New views of destruction emerge as 36-hour Gaza communication blackout lifts,https://www.latimes.com/world-nation/story/2023-10-29/information-emerges-as-36-hour-gaza-communication-blackout-lifts,News
LAT,10/28/2023," Israel's Netanyahu says the Gaza war has entered a new stage, will be 'long and difficult' ",https://www.latimes.com/world-nation/story/2023-10-28/israeli-defense-minister-says-the-gaza-war-has-entered-a-new-stage-with-an-expanded-ground-operation,News
LAT,10/28/2023,Thousands rally in downtown L.A. against Israel's air and ground war in Gaza,https://www.latimes.com/california/story/2023-10-28/thousands-rally-in-downtown-l-a-israel-gaza,News
LAT,10/28/2023," For L.A. Jews, weeks of war have changed everything ",https://www.latimes.com/california/story/2023-10-28/for-l-a-jews-weeks-of-war-have-changed-everything,News
LAT,10/28/2023,Inside the desperate lobbying effort to push the U.S. to save hostages held by Hamas,https://www.latimes.com/politics/story/2023-10-28/lobbying-save-hamas-hostages,News
LAT,10/27/2023," 'He isn't Winston Churchill.' Despite anger and blame, war buys time for Netanyahu, Israel's unpopular leader ",https://www.latimes.com/world-nation/story/2023-10-27/he-isnt-churchill-despite-anger-and-blame-war-buys-time-for-israels-unpopular-leader,News
LAT,10/27/2023," 'Kidnapped from Israel,' artists' posters say. Some are being torn down ",https://www.latimes.com/world-nation/story/2023-10-27/artists-kidnapped-from-israel-posters-being-torn-down-by-some,News
LAT,10/27/2023,Israel steps up air and ground attacks in Gaza and cuts off the territory's communications,https://www.latimes.com/world-nation/story/2023-10-27/israel-ground-invasion-gaza-long-difficult-tunnel-network,News
